"Inner_Iter",    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      
         325,      -2.688784541,     0.07578839617,      0.3699954385,     0.09314501941
         326,      -2.691337215,     0.07560390295,      0.3688532174,     0.09254833799
         327,      -2.693170451,     0.07542553678,       0.367737056,     0.09196833467
         328,      -2.694702189,     0.07525257595,      0.3666451672,     0.09140359472
         329,      -2.696046694,     0.07508567852,       0.365580339,     0.09085535731
         330,      -2.697622289,     0.07492613922,      0.3645474291,     0.09032604557
         331,      -2.700028112,     0.07477544932,      0.3635524882,     0.08981876676
         332,      -2.704188913,     0.07463332563,      0.3625947194,     0.08933276011
         333,      -2.708538723,     0.07449801005,      0.3616685119,     0.08886452834
         334,      -2.712533566,     0.07436996846,      0.3607761804,     0.08841507559
         335,      -2.716099713,     0.07424918491,      0.3599178439,     0.08798414353
         336,      -2.719662036,     0.07413731473,      0.3591000395,     0.08757506559
         337,      -2.722776201,     0.07403479939,      0.3583250658,     0.08718879538
         338,      -2.726074378,     0.07393804054,      0.3575808405,     0.08681820277
         339,      -2.728973219,     0.07384713801,      0.3568688334,     0.08646382023
         340,      -2.732181329,     0.07376178374,      0.3561884371,     0.08612506494
         341,      -2.735458596,     0.07368156751,      0.3555383492,     0.08580102088
         342,      -2.739560438,     0.07360952244,      0.3549311067,     0.08549856127
         343,      -2.744322378,     0.07354158237,      0.3543520753,     0.08520945017
         344,      -2.749883782,     0.07347751507,      0.3538010743,     0.08493359106
         345,      -2.755891465,     0.07341756753,      0.3532795866,     0.08467188819
         346,      -2.760623039,     0.07336128944,      0.3527854412,     0.08442328345
         347,      -2.764502418,     0.07330927543,      0.3523210927,     0.08418933065
         348,       -2.76789513,     0.07326201503,       0.351889389,     0.08397187593
         349,      -2.772459571,     0.07321745798,      0.3514821311,     0.08376668806
         350,      -2.777160567,      0.0731764023,      0.3511021664,     0.08357571237
         351,      -2.782035347,     0.07313914082,      0.3507503672,     0.08339983713
         352,      -2.786694049,     0.07310550425,      0.3504246522,     0.08323833371
         353,      -2.790911601,     0.07307603995,      0.3501268288,     0.08309266052
         354,      -2.794670476,     0.07304965378,      0.3498536071,     0.08296148391
         355,      -2.799400899,     0.07302671603,      0.3496047031,     0.08284508996
         356,      -2.805213201,     0.07300764877,      0.3493811022,     0.08274444601
         357,      -2.812405777,     0.07299223962,      0.3491810574,     0.08265897619
         358,      -2.821257985,     0.07297984976,      0.3490011347,       0.082587121
         359,      -2.830966774,     0.07297218674,      0.3488462839,     0.08253190418
         360,      -2.839624865,      0.0729664703,      0.3487070501,     0.08248842983
         361,      -2.846850975,     0.07296323631,       0.348584705,     0.08245756453
         362,      -2.853083774,       0.072962266,      0.3484778975,     0.08243869752
         363,      -2.859387698,     0.07296257049,      0.3483828587,     0.08242984335
         364,      -2.865239814,     0.07296335589,      0.3482962352,     0.08242919546
         365,      -2.871271061,     0.07296531502,        0.34821913,     0.08243735623
         366,      -2.877973032,     0.07296886314,      0.3481537574,      0.0824555176
         367,        -2.8855747,     0.07297132989,      0.3480911453,     0.08247875892
         368,      -2.893621543,     0.07297297911,      0.3480320109,     0.08250736942
         369,      -2.902353764,      0.0729728012,      0.3479730529,     0.08253945159
         370,       -2.91137534,     0.07297027822,      0.3479124361,     0.08257389136
         371,      -2.920962013,     0.07296494496,      0.3478482419,     0.08260950285
         372,      -2.931360081,     0.07295888024,      0.3477860426,     0.08264916459
         373,      -2.942232855,      0.0729526113,      0.3477291027,     0.08269445221
         374,      -2.953044686,     0.07294295494,      0.3476664153,     0.08273927854
         375,       -2.96394898,     0.07293032935,      0.3476000927,       0.082784554
         376,      -2.975463275,     0.07291450615,      0.3475292152,     0.08282956388
         377,      -2.987113521,     0.07289510041,      0.3474523874,     0.08287332498
         378,      -2.998785996,     0.07287209063,      0.3473690737,     0.08291531604
         379,      -3.010574351,     0.07284714574,      0.3472833481,     0.08295750894
         380,      -3.021628758,     0.07282143945,       0.347198644,     0.08300151652
         381,      -3.031834373,      0.0727953443,      0.3471170414,     0.08304822907
         382,       -3.04141668,     0.07276688339,      0.3470319121,     0.08309390098
         383,      -3.051155491,      0.0727360524,      0.3469427325,     0.08313801315
         384,      -3.061055674,     0.07270345915,      0.3468511784,     0.08318118689
         385,      -3.071334753,     0.07266870873,      0.3467558062,     0.08322236606
         386,       -3.08224092,      0.0726321697,       0.346657058,     0.08326149772
         387,      -3.093468439,     0.07259507948,      0.3465577928,     0.08329981706
         388,      -3.104875192,     0.07255822831,      0.3464597634,     0.08333797383
         389,       -3.11641239,     0.07252215394,       0.346365063,     0.08337679317
         390,      -3.128287167,     0.07248752319,      0.3462769557,     0.08341773113
         391,       -3.14042286,     0.07245218752,      0.3461882724,     0.08345673115
         392,      -3.152615055,     0.07241621764,      0.3460983125,      0.0834931598
         393,      -3.164800801,     0.07237953325,      0.3460070718,       0.083526764
         394,      -3.177065238,     0.07234201486,      0.3459149173,     0.08355749644
         395,      -3.189204118,     0.07230402367,      0.3458226296,     0.08358556729
         396,      -3.201260276,     0.07226621019,      0.3457322306,     0.08361188004
         397,      -3.213219734,     0.07222939448,      0.3456464111,     0.08363772643
